titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url;precio_m2;es_piso_alto;es_estudio;metros_por_habitacion;log_precio;penalizacion_sin_ascensor;score_calidad
Piso en Calle de Melchor Fernández Almagro, La Paz, Madrid;Almagro;1400;50;1;1;3;1;1;0;1;1;0;https://www.idealista.com/inmueble/110203214/;28.0;1;0;50.0;7.24422751560335;0;4
Piso en CL Orfila, Almagro, Madrid;Almagro;2300;67;2;2;2;1;0;1;1;0;1;https://www.idealista.com/inmueble/109846911/;34.33;0;0;33.5;7.7406644019172415;0;4
Dúplex en Calle de Zurbano, Almagro, Madrid;Almagro;2175;85;3;2;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110201300/;25.59;0;0;28.33;7.684783943522785;0;2
Piso en Calle de El Españoleto, Almagro, Madrid;Almagro;1150;30;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/110201161/;38.33;0;0;30.0;7.047517221357296;0;3
Piso en Almagro, Madrid;Almagro;4750;131;2;2;4;1;1;0;1;0;1;https://www.idealista.com/inmueble/108978321/;36.26;1;0;65.5;8.465899897028686;0;4
Piso en Calle de Zurbano, Almagro, Madrid;Almagro;2970;71;2;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98322211/;41.83;1;0;35.5;7.996317231796746;0;3
Piso en Almagro, Madrid;Almagro;8000;258;2;3;2;1;1;0;1;0;0;https://www.idealista.com/inmueble/107812425/;31.01;0;0;129.0;8.987196820661973;0;3
Ático en CL Alfonso X, Almagro, Madrid;Almagro;3500;99;2;2;6;1;0;1;1;0;0;https://www.idealista.com/inmueble/110188414/;35.35;1;0;49.5;8.160518247477505;0;3
Piso en CL Virtudes, Almagro, Madrid;Almagro;1650;53;1;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/109822370/;31.13;0;0;53.0;7.408530566894626;0;4
Piso en Calle de Zurbano, 84, Almagro, Madrid;Almagro;1650;45;1;2;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/109760102/;36.67;0;0;45.0;7.408530566894626;0;4
Piso en Calle de Zurbano, Almagro, Madrid;Almagro;6000;186;3;2;3;1;1;0;1;1;0;https://www.idealista.com/inmueble/110060839/;32.26;1;0;62.0;8.699514748210191;0;4
Piso en Calle rafael calvo, 4, Almagro, Madrid;Almagro;3915;100;3;2;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/33880860/;39.15;1;0;33.33;8.272570608424903;0;3
Piso en Calle de Viriato, Almagro, Madrid;Almagro;5500;200;3;3;4;1;1;0;1;0;1;https://www.idealista.com/inmueble/109785872/;27.5;1;0;66.67;8.612503371220562;0;4
Piso en Calle de Zurbarán, Almagro, Madrid;Almagro;6995;200;4;3;4;1;0;0;0;1;0;https://www.idealista.com/inmueble/99836995/;34.98;1;0;50.0;8.852950887099581;0;2
Piso en Paseo del General Martínez Campos, Almagro, Madrid;Almagro;3440;85;2;2;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/103026422/;40.47;1;0;42.5;8.143226750367445;0;4
Piso en Calle de Santa Engracia, Almagro, Madrid;Almagro;2135;70;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/95646371/;30.5;0;0;70.0;7.666221925662725;0;3
Piso en Calle de Modesto Lafuente, 12, Almagro, Madrid;Almagro;6100;152;3;3;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/101520121/;40.13;1;0;50.67;8.716044050161402;0;4
Piso en Calle Ponce de León, Almagro, Madrid;Almagro;1295;34;1;1;3;1;0;1;0;1;1;https://www.idealista.com/inmueble/36424101/;38.09;1;0;34.0;7.166265974133638;0;4
Piso en Calle de Zurbano, Almagro, Madrid;Almagro;2600;85;2;1;5;0;0;0;0;0;0;https://www.idealista.com/inmueble/109988652/;30.59;1;0;42.5;7.8632667240095735;1;0
Piso en Calle de Ponzano, Almagro, Madrid;Almagro;1800;50;3;1;2;1;0;0;0;1;0;https://www.idealista.com/inmueble/89403099/;36.0;0;0;16.67;7.495541943884256;0;2
Piso en Calle de Génova, Almagro, Madrid;Almagro;6750;187;3;3;-1;1;1;0;1;0;1;https://www.idealista.com/inmueble/95557001/;36.1;0;0;62.33;8.817297783866575;0;4
Piso en Calle de Génova, 5, Almagro, Madrid;Almagro;3200;97;1;1;5;1;1;0;1;1;0;https://www.idealista.com/inmueble/101060065/;32.99;1;0;97.0;8.070906088787819;0;4
Piso en Calle de Génova, 5, Almagro, Madrid;Almagro;3750;132;2;2;5;1;1;0;1;1;0;https://www.idealista.com/inmueble/100199951/;28.41;1;0;66.0;8.229511118964457;0;4
Piso en Calle de Génova, Almagro, Madrid;Almagro;3200;87;1;1;1;1;1;0;1;1;0;https://www.idealista.com/inmueble/102601316/;36.78;0;0;87.0;8.070906088787819;0;4
Dúplex en Calle de Génova, Almagro, Madrid;Almagro;4000;120;2;2;6;1;1;1;1;1;0;https://www.idealista.com/inmueble/100413607/;33.33;1;0;60.0;8.294049640102028;0;5
Piso en Calle de Génova, Almagro, Madrid;Almagro;3200;92;1;1;1;1;1;1;1;1;1;https://www.idealista.com/inmueble/98278908/;34.78;0;0;92.0;8.070906088787819;0;6
Piso en Calle de José Abascal, Almagro, Madrid;Almagro;3800;163;3;3;5;1;1;1;1;0;0;https://www.idealista.com/inmueble/98275869/;23.31;1;0;54.33;8.242756345714477;0;4
Piso en CL Españoleto, Almagro, Madrid;Almagro;6000;216;3;3;3;1;1;0;1;0;0;https://www.idealista.com/inmueble/110028381/;27.78;1;0;72.0;8.699514748210191;0;3
Piso en Calle de Génova, Almagro, Madrid;Almagro;3200;82;1;1;5;1;1;1;1;1;1;https://www.idealista.com/inmueble/100124214/;39.02;1;0;82.0;8.070906088787819;0;6
Piso en Calle de Fernando el Santo, Almagro, Madrid;Almagro;2875;91;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/97502443/;31.59;0;0;45.5;7.963807953231451;0;3
