titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Piso en Calle de Peña de Francia, 8, Lavapiés-Embajadores, Madrid;Lavapiés;1380;35;1;1;0;1;0;1;1;1;1;https://www.idealista.com/inmueble/105016934/
Piso en Calle del Conde de Romanones, Lavapiés-Embajadores, Madrid;Lavapiés;1595;51;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/110201073/
Piso en Calle del General Pardiñas, Goya, Madrid;Goya;2790;104;2;2;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/107097991/
Piso en Calle de Cristóbal Bordiú, 49, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;1950;100;3;1;1;1;0;0;1;0;0;https://www.idealista.com/inmueble/89744516/
Piso en Calle del General Pardiñas, Lista, Madrid;Lista;3200;105;3;2;3;1;0;0;1;1;1;https://www.idealista.com/inmueble/107425390/
Piso en Pasaje de Pradillo, Prosperidad, Madrid;Prosperidad;3250;80;2;2;3;1;0;0;1;1;1;https://www.idealista.com/inmueble/110201069/
Piso en Trafalgar, Madrid;Trafalgar;4500;72;2;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/107398888/
Piso en Calle del Gasómetro, Acacias, Madrid;Acacias;1450;79;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/95341982/
Piso en Argüelles, Madrid;Argüelles;2150;73;2;1;6;1;0;1;1;0;0;https://www.idealista.com/inmueble/109599889/
Piso en Calle del Conde de Romanones, Lavapiés-Embajadores, Madrid;Lavapiés;1370;42;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110201023/
Piso en Lista, Madrid;Lista;3500;109;2;2;5;1;0;0;1;1;0;https://www.idealista.com/inmueble/105950883/
Piso en Calle del General Pardiñas, 13, Goya, Madrid;Goya;1650;46;1;1;7;1;0;0;1;1;1;https://www.idealista.com/inmueble/110200962/
Piso en Plaza Manolete, Cuatro Caminos, Madrid;Cuatro Caminos;1790;53;1;1;8;1;0;0;1;1;0;https://www.idealista.com/inmueble/106942583/
Ático en Calle de la Palma, 43, Malasaña-Universidad, Madrid;Malasaña;750;40;1;1;4;1;0;1;0;1;0;https://www.idealista.com/inmueble/93699828/
Piso en Calle de Quintana, Argüelles, Madrid;Argüelles;2740;78;2;2;9;1;0;0;1;1;0;https://www.idealista.com/inmueble/99917647/
Estudio en Calle de Lagasca, Madrid, Recoletos, Madrid;Recoletos;1200;33;0;1;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/82426954/
Piso en Paseo del Pintor Rosales, Argüelles, Madrid;Argüelles;13995;360;6;5;1;1;1;1;1;1;0;https://www.idealista.com/inmueble/106843213/
Piso en Avenida de Burgos, 48, Castilla, Madrid;Castilla;1750;100;3;2;2;1;1;0;1;0;1;https://www.idealista.com/inmueble/94346750/
Estudio en Calle de Francisco Navacerrada, Guindalera, Madrid;Guindalera;1370;59;0;1;4;1;1;0;1;1;0;https://www.idealista.com/inmueble/105347139/
Piso en Calle de Londres, 7, Guindalera, Madrid;Guindalera;1650;75;2;2;1;1;0;0;0;1;1;https://www.idealista.com/inmueble/110200914/
Estudio en Calle del Marqués de la Ensenada, Chueca-Justicia, Madrid;Justicia;1320;38;0;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/93918822/
Piso en Calle de Mantuano, Ciudad Jardín, Madrid;Ciudad Jardín;2000;83;2;2;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/110200931/
Piso en Argüelles, Madrid;Argüelles;2500;40;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/108572502/
Piso en Calle de la Escuadra, Lavapiés-Embajadores, Madrid;Lavapiés;1250;49;1;1;-1;1;0;1;1;1;0;https://www.idealista.com/inmueble/110200884/
Piso en Calle de Zurbano, Almagro, Madrid;Almagro;2970;71;2;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98322211/
Piso en El Viso, Madrid;El Viso;1700;45;1;1;1;1;1;0;1;0;1;https://www.idealista.com/inmueble/110200880/
Piso en Almagro, Madrid;Almagro;8000;258;2;3;2;1;1;0;1;0;0;https://www.idealista.com/inmueble/107812425/
Piso en Calle de Benigno Soto, 7, Ciudad Jardín, Madrid;Ciudad Jardín;1250;54;1;1;6;1;0;0;1;0;1;https://www.idealista.com/inmueble/110200813/
Piso en Calle del Cardenal Cisneros, Trafalgar, Madrid;Trafalgar;2420;63;2;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/98161414/
Piso en Calle del Capitán Haya, 55, Cuzco-Castillejos, Madrid;Castillejos;1370;70;1;1;4;1;1;1;0;1;0;https://www.idealista.com/inmueble/27143437/
Piso en Argüelles, Madrid;Argüelles;3350;192;3;3;4;1;0;0;1;0;0;https://www.idealista.com/inmueble/109686697/
Estudio en Calle de Santa María, Huertas-Cortes, Madrid;Cortes;1050;30;0;1;1;1;1;0;1;1;1;https://www.idealista.com/inmueble/110200851/
Casa o chalet independiente en Calle Lamiaco, El Plantío, Madrid;Otros Madrid;9500;500;4;5;-1;0;1;1;1;0;1;https://www.idealista.com/inmueble/108376621/
Piso en Calle de Orense, 6, Cuatro Caminos, Madrid;Cuatro Caminos;2700;93;2;1;6;1;1;1;1;1;0;https://www.idealista.com/inmueble/110200771/
Piso en Calle de Silva, Palacio, Madrid;Palacio;1780;50;1;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/106750788/
Piso en Avenida de la Peseta, 92, Pau de Carabanchel, Madrid;Carabanchel;1300;54;1;1;2;1;1;0;1;1;1;https://www.idealista.com/inmueble/107877536/
Piso en Castellana, Madrid;Castellana;4400;170;3;2;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/106966757/
Piso en Calle del Maestro Alonso, Fuente del Berro, Madrid;Fuente del Berro;1950;90;3;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/110200697/
Ático en Goya, Madrid;Goya;4500;120;2;2;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/109629086/
Piso en Calle de Juan Boscán, 6, Pueblo Nuevo, Madrid;Pueblo Nuevo;1200;50;1;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110200533/
Dúplex en Cava de San Miguel, Sol, Madrid;Sol;2000;80;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/108070861/
Piso en Pasaje de Pradillo, s/n, Prosperidad, Madrid;Prosperidad;3250;79;2;2;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/110200574/
Estudio en Calle Monteleon, Malasaña-Universidad, Madrid;Malasaña;1280;45;0;1;2;1;0;1;0;1;1;https://www.idealista.com/inmueble/91499132/
Piso en Calle de Orense, Cuatro Caminos, Madrid;Cuatro Caminos;3600;160;4;3;7;1;1;1;1;0;0;https://www.idealista.com/inmueble/110200627/
Piso en Calle de las Huertas, Huertas-Cortes, Madrid;Cortes;2050;60;2;1;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/108843135/
Piso en Calle de Augusto Figueroa, 4, Chueca-Justicia, Madrid;Justicia;2000;120;3;1;4;1;0;1;0;1;0;https://www.idealista.com/inmueble/83676582/
Estudio en Calle de Churruca, Chueca-Justicia, Madrid;Justicia;1120;30;0;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/99591568/
Piso en CL Montera, 45, Sol, Madrid;Sol;1500;47;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110200543/
Piso en Calle de Juan Bravo, Castellana, Madrid;Castellana;1700;70;1;1;4;1;0;0;1;1;0;https://www.idealista.com/inmueble/109862654/
Piso en Pasaje de Pradillo, Prosperidad, Madrid;Prosperidad;3250;79;2;2;3;1;0;0;0;1;1;https://www.idealista.com/inmueble/110200546/
Piso en Calle de las Huertas, Huertas-Cortes, Madrid;Cortes;1900;66;2;1;2;1;0;1;1;1;1;https://www.idealista.com/inmueble/110107302/
Piso en Calle de José Celestino Mutis, Fuente del Berro, Madrid;Fuente del Berro;1600;67;2;1;2;1;1;0;1;1;0;https://www.idealista.com/inmueble/110200528/
Piso en Recoletos, Madrid;Recoletos;4500;250;4;3;1;1;1;0;1;0;0;https://www.idealista.com/inmueble/109784756/
Dúplex en Calle de Pedro Tezano, 9, Berruguete, Madrid;Berruguete;799;30;1;1;0;1;0;1;0;1;0;https://www.idealista.com/inmueble/108471208/
Piso en Guindalera, Madrid;Guindalera;2200;100;3;2;3;1;1;1;1;0;1;https://www.idealista.com/inmueble/109885520/
Estudio en Calle Alcalá, Goya, Madrid;Goya;1100;30;0;1;5;1;0;0;1;1;0;https://www.idealista.com/inmueble/110200473/
Piso en Ramirez De Prado, Delicias, Madrid;Delicias;1300;60;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/81345801/
Piso en Calle de Cartagena, Prosperidad, Madrid;Prosperidad;1250;45;2;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/107060542/
Piso en Calle de Jerte, Palacio, Madrid;Palacio;950;40;1;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/110062792/
Piso en Calle de Santa Casilda, Imperial, Madrid;Imperial;1900;116;3;1;5;0;0;0;0;0;0;https://www.idealista.com/inmueble/110200477/
Piso en Calle de Juan Bravo, Lista, Madrid;Lista;2200;50;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/109777399/
Piso en Calle de la Virgen de África, 8, Concepción, Madrid;Otros Madrid;1300;95;2;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/110200408/
Piso en Calle de Narváez, Ibiza, Madrid;Ibiza;1650;60;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/107725791/
Piso en Calle del Porvenir, Fuente del Berro, Madrid;Fuente del Berro;1600;57;2;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/110200381/
Piso en Calle de la Bola, 2, Palacio, Madrid;Palacio;1350;52;1;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/106598948/
Piso en Calle de la Torrecilla del Leal, 22, Lavapiés-Embajadores, Madrid;Lavapiés;1200;61;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/110200323/
Estudio en Calle de Barbieri, Chueca-Justicia, Madrid;Justicia;1320;32;0;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/110063052/
Piso en Calle Mayor, Sol, Madrid;Sol;1600;69;2;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/109090130/
Piso en Calle del Sombrerete, 1, Lavapiés-Embajadores, Madrid;Lavapiés;1395;40;1;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/109800675/
Piso en Avenida del Monasterio de Silos, Montecarmelo, Madrid;Montecarmelo;1500;73;2;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/35309820/
Piso en Calle del Mar Menor, Pinar del Rey, Madrid;Pinar del Rey;2200;85;3;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/110063394/
Estudio en Paseo de la Infanta Isabel, 15, Jerónimos, Madrid;Jerónimos;1050;30;0;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/110200253/
Piso en Calle de Embajadores, Lavapiés-Embajadores, Madrid;Lavapiés;1280;34;1;1;1;0;0;0;0;0;0;https://www.idealista.com/inmueble/110196643/
Piso en Arapiles, Madrid;Arapiles;1250;55;1;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/108878362/
Piso en Calle de Fereluz, Valdeacederas, Madrid;Valdeacederas;1900;83;2;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/109749609/
Estudio en Calle de la Huerta de Castañeda, 4, Puerta del Ángel, Madrid;Puerta del Ángel;850;34;0;1;0;0;0;0;0;0;0;https://www.idealista.com/inmueble/110198850/
Piso en Calle de Villanueva, Recoletos, Madrid;Recoletos;2600;75;1;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/109963329/
Piso en Calle del Espejo, 9, Palacio, Madrid;Palacio;1900;70;2;1;0;1;0;0;1;0;1;https://www.idealista.com/inmueble/110200142/
Piso en Calle de Gravina, Chueca-Justicia, Madrid;Justicia;2000;58;2;2;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/109785255/
Estudio en Avenida de Menéndez Pelayo, 45, Ibiza, Madrid;Ibiza;2500;80;0;1;7;1;0;1;1;1;0;https://www.idealista.com/inmueble/105619244/
Piso en Calle Alondra, Vista Alegre, Madrid;Otros Madrid;1150;44;1;1;0;1;0;0;1;1;0;https://www.idealista.com/inmueble/110182398/
Estudio en Calle de José Antonio Rebolledo y Palma, 23, Ensanche de Vallecas - La Gavia, Madrid;Otros Madrid;1450;27;0;1;6;1;1;0;0;1;0;https://www.idealista.com/inmueble/110199993/
Piso en Paseo de la Virgen del Puerto, Imperial, Madrid;Imperial;1750;98;1;1;2;1;1;1;1;1;0;https://www.idealista.com/inmueble/109786931/
Piso en Calle de las Azucenas, 45, Valdeacederas, Madrid;Valdeacederas;1100;54;1;1;0;1;0;0;1;0;0;https://www.idealista.com/inmueble/110199837/
Piso en Calle de Bretón de los Herreros, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;2200;60;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/109785907/
Piso en Calle de Martínez Corrochano, Adelfas, Madrid;Adelfas;1600;75;2;1;3;1;1;1;1;1;0;https://www.idealista.com/inmueble/105682280/
Piso en Paseo de la Dirección, Valdeacederas, Madrid;Valdeacederas;2100;85;2;2;9;1;1;1;1;1;0;https://www.idealista.com/inmueble/109796650/
Piso en Calle Alcalá, Goya, Madrid;Goya;3300;110;3;2;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/110199779/
Piso en Calle de Ercilla, Acacias, Madrid;Acacias;1190;40;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109992654/
Piso en Goya, Madrid;Goya;3100;75;2;1;3;1;0;0;1;1;1;https://www.idealista.com/inmueble/110199227/
Piso en Calle de Pedro Teixeira, Cuatro Caminos, Madrid;Cuatro Caminos;1390;65;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/109787097/
Piso en Valdeacederas, Madrid;Valdeacederas;850;42;1;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/97456601/
Piso en Calle de Dulce Chacón, Virgen del Cortijo - Manoteras, Madrid;Otros Madrid;1500;52;1;1;3;1;0;0;0;1;0;https://www.idealista.com/inmueble/110158881/
Piso en Calle de Deyanira, 31, Rejas, Madrid;Otros Madrid;1700;137;3;2;3;1;1;1;0;0;0;https://www.idealista.com/inmueble/109607126/
Piso en Calle Algete, Legazpi, Madrid;Legazpi;2500;89;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110115749/
Piso en Calle de Roquetas de Mar, Apóstol Santiago, Madrid;Otros Madrid;950;35;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/110198790/
Piso en Paseo del Pintor Rosales, Argüelles, Madrid;Argüelles;4800;150;2;2;4;1;0;1;1;1;0;https://www.idealista.com/inmueble/110114734/
Piso en Plaza del Norte, 2, Ventilla-Almenara, Madrid;Almenara;2100;97;2;2;1;1;1;1;1;0;0;https://www.idealista.com/inmueble/102409865/
Piso en Plaza de los Mostenses, 11, Malasaña-Universidad, Madrid;Malasaña;1900;40;1;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/109923230/
Piso en Calle de Santa Adela, 1, Pinar del Rey, Madrid;Pinar del Rey;1500;100;2;1;11;1;0;1;1;1;0;https://www.idealista.com/inmueble/110198669/
Piso en Calle del Gobernador, Huertas-Cortes, Madrid;Cortes;1290;49;1;1;0;1;0;0;1;1;0;https://www.idealista.com/inmueble/109748293/
Piso en Calle de la Alameda, 18, Huertas-Cortes, Madrid;Cortes;1800;75;2;1;2;1;0;1;1;1;0;https://www.idealista.com/inmueble/110198448/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;26;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801417/
Estudio en Calle de San Carlos, 13, Lavapiés-Embajadores, Madrid;Lavapiés;1000;33;0;1;0;1;0;0;1;1;0;https://www.idealista.com/inmueble/110198300/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801290/
Piso en Guindalera, Madrid;Guindalera;1100;45;1;1;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/106323531/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799804/
Ático en Sanchinarro, Madrid;Sanchinarro;2100;193;3;2;6;1;1;1;1;0;0;https://www.idealista.com/inmueble/94191276/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;26;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799217/
Estudio en Calle de la Primavera, 9, Lavapiés-Embajadores, Madrid;Lavapiés;850;30;0;1;3;1;1;0;0;1;1;https://www.idealista.com/inmueble/91395360/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109799473/
Piso en Calle Peña Trevinca, 7, Palomeras Bajas, Madrid;Otros Madrid;1600;74;3;1;3;1;0;0;0;0;1;https://www.idealista.com/inmueble/110188384/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109798582/
Piso en Calle de Villamanín, 20, Lucero, Madrid;Lucero;1100;20;1;1;1;1;0;0;0;1;1;https://www.idealista.com/inmueble/110188853/
Piso en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;1140;46;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109801201/
Piso en San Pascual, Madrid;Otros Madrid;1200;57;2;1;1;1;0;1;1;1;0;https://www.idealista.com/inmueble/110197387/
Estudio en Calle de San Manuel, Aluche, Madrid;Otros Madrid;990;30;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109772454/
Estudio en Calle del Mesón de Paredes, 4, Lavapiés-Embajadores, Madrid;Lavapiés;900;25;0;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/110197191/
Dúplex en Avenida de Manoteras, Virgen del Cortijo - Manoteras, Madrid;Otros Madrid;1995;74;2;3;4;1;1;1;1;1;0;https://www.idealista.com/inmueble/109746529/
Piso en Avenida del Euro, 14, Pau de Carabanchel, Madrid;Carabanchel;1275;84;2;2;4;1;1;1;1;1;0;https://www.idealista.com/inmueble/110197226/
Estudio en Calle de Fuencarral, Chueca-Justicia, Madrid;Justicia;1600;45;0;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/109775504/
Piso en Calle de Claudio Coello, 97, Castellana, Madrid;Castellana;985;43;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/26928941/
Dúplex en Avenida de Manoteras, Virgen del Cortijo - Manoteras, Madrid;Otros Madrid;1650;76;1;1;1;1;1;0;1;1;0;https://www.idealista.com/inmueble/109775874/
Piso en Avenida del Santo Ángel de la Guarda, 25, Valdezarza, Madrid;Otros Madrid;2500;129;3;2;2;1;1;1;1;0;0;https://www.idealista.com/inmueble/110196621/
Piso en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;1140;42;1;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109772466/
Piso en Calle de Segovia, Imperial, Madrid;Imperial;1150;47;1;1;1;1;0;1;1;0;0;https://www.idealista.com/inmueble/110196525/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;990;27;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109776118/
Piso en Bellas Vistas, Madrid;Bellas Vistas;1500;73;2;1;2;1;0;0;1;0;1;https://www.idealista.com/inmueble/110195569/
Estudio en Calle de San Manuel, 3, Aluche, Madrid;Otros Madrid;1040;32;0;1;0;1;0;0;0;1;0;https://www.idealista.com/inmueble/109730319/
Estudio en Opañel, Madrid;Otros Madrid;820;40;0;1;3;1;1;0;0;1;1;https://www.idealista.com/inmueble/87463413/
Ático en Calle de Méndez Álvaro, 43, Delicias, Madrid;Delicias;1445;53;1;1;9;1;1;1;0;0;1;https://www.idealista.com/inmueble/109297635/
Ático en Calle Imperial, 10, Sol, Madrid;Sol;900;20;0;1;4;1;0;1;1;1;1;https://www.idealista.com/inmueble/86577051/
Piso en Calle de Méndez Álvaro, 43, Delicias, Madrid;Delicias;1820;84;2;2;8;1;1;0;0;0;1;https://www.idealista.com/inmueble/109504276/
Piso en Argüelles, Madrid;Argüelles;4200;242;4;3;4;1;0;0;0;0;0;https://www.idealista.com/inmueble/110195597/
Piso en Calle Excelente, 6, Buena Vista, Madrid;Otros Madrid;995;54;1;1;3;1;1;1;0;0;1;https://www.idealista.com/inmueble/109309313/
Piso en Calle de Larra, 3, Chueca-Justicia, Madrid;Justicia;1600;65;2;1;2;1;0;0;0;1;0;https://www.idealista.com/inmueble/96578215/
Piso en Calle de San Pedro Mártir, Lavapiés-Embajadores, Madrid;Lavapiés;3000;110;4;2;1;1;0;0;0;1;1;https://www.idealista.com/inmueble/106211481/
Piso en Fuente del Berro, Madrid;Fuente del Berro;2200;64;1;1;-1;1;1;1;1;1;1;https://www.idealista.com/inmueble/110195400/
Piso en Calle Excelente, 6, Buena Vista, Madrid;Otros Madrid;1145;53;2;2;3;1;1;0;0;0;0;https://www.idealista.com/inmueble/109309292/
Piso en CL General Diaz Porlier, Goya, Madrid;Goya;2600;70;2;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/110195368/
Dúplex en Carretera Fuencarral - Alcobendas, Tres Olivos - Valverde, Madrid;Fuencarral;1175;72;0;1;4;1;1;0;1;1;0;https://www.idealista.com/inmueble/564111/
Piso en Argüelles, Madrid;Argüelles;2000;76;2;1;5;1;0;0;1;0;0;https://www.idealista.com/inmueble/110195356/
Piso en Calle de las Viñas del Rio, 13, Butarque, Madrid;Otros Madrid;950;52;1;1;2;1;1;1;0;0;0;https://www.idealista.com/inmueble/109789619/
Piso en Calle de Echegaray, Huertas-Cortes, Madrid;Cortes;1750;60;2;1;2;1;0;0;1;1;0;https://www.idealista.com/inmueble/110195067/
Chalet pareado en Calle de Saxifraga, Nueva España, Madrid;Nueva España;6800;400;5;5;-1;0;1;0;1;0;0;https://www.idealista.com/inmueble/102553422/
Piso en Calle de Jaime el Conquistador, 40, Chopera, Madrid;Opera;1200;55;2;1;1;1;0;0;0;1;0;https://www.idealista.com/inmueble/110180576/
Piso en Conde Orgaz-Piovera, Madrid;Otros Madrid;2700;118;3;2;1;1;1;0;1;1;1;https://www.idealista.com/inmueble/109913164/
Ático en CL Beire, Bellas Vistas, Madrid;Bellas Vistas;1400;45;1;1;3;1;0;1;1;1;1;https://www.idealista.com/inmueble/110194714/
Piso en Arapiles, Madrid;Arapiles;1500;50;1;1;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/110162364/
Piso en diego de leon, 69, Lista, Madrid;Lista;2300;100;2;1;6;1;1;1;1;1;1;https://www.idealista.com/inmueble/31797007/
Piso en Calle de Lagasca, Castellana, Madrid;Castellana;1900;70;1;1;0;1;0;0;1;1;1;https://www.idealista.com/inmueble/97794045/
Piso en Avenida de América, 45, Prosperidad, Madrid;Prosperidad;1350;69;1;1;8;1;0;1;1;0;0;https://www.idealista.com/inmueble/101757175/
Piso en Calle de Serrano, Bernabéu-Hispanoamérica, Madrid;Hispanoamérica;3300;141;2;2;6;1;1;1;1;0;0;https://www.idealista.com/inmueble/110038167/
Ático en Avenida de Pío XII, Nueva España, Madrid;Nueva España;2100;70;1;1;3;1;1;1;1;1;1;https://www.idealista.com/inmueble/110191921/
Piso en Niño Jesús, Madrid;Niño Jesús;4000;191;5;3;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/110175375/
Piso en Calle de Andrés Mellado, Gaztambide, Madrid;Gaztambide;1590;56;2;1;3;1;0;1;0;0;1;https://www.idealista.com/inmueble/110191502/
Piso en Calle de Campomanes, Palacio, Madrid;Palacio;10000;205;3;3;4;1;0;0;0;0;1;https://www.idealista.com/inmueble/107225257/
Piso en Calle de Espronceda, 30, Nuevos Ministerios-Ríos Rosas, Madrid;Ríos Rosas;2600;80;2;1;3;1;0;0;1;1;1;https://www.idealista.com/inmueble/110191397/
Piso en Nueva España, Madrid;Nueva España;2300;71;2;1;5;1;0;1;1;1;1;https://www.idealista.com/inmueble/109445641/
Piso en Calle de Siena, Quintana, Madrid;Otros Madrid;1350;59;2;1;3;1;0;0;1;1;0;https://www.idealista.com/inmueble/110191223/
Piso en Calle de Padilla, Castellana, Madrid;Castellana;9000;250;4;4;1;1;0;1;1;0;1;https://www.idealista.com/inmueble/109695464/
Piso en CL Astros, Estrella, Madrid;Estrella;1590;101;3;2;4;1;0;0;0;0;0;https://www.idealista.com/inmueble/110191205/
Piso en Paseo de la Virgen del Puerto, Imperial, Madrid;Imperial;1850;80;1;1;3;1;1;1;1;1;1;https://www.idealista.com/inmueble/108087720/
Ático en Calle del Pretil de los Consejos, Palacio, Madrid;Palacio;2800;134;2;1;6;1;0;1;1;1;0;https://www.idealista.com/inmueble/110190533/
Estudio en Avenida de Francisco Pi y Margall, 79, Sanchinarro, Madrid;Sanchinarro;1090;33;0;1;1;1;1;0;1;1;0;https://www.idealista.com/inmueble/110161608/
Piso en Recoletos, Madrid;Recoletos;6200;200;4;3;4;1;1;1;1;1;0;https://www.idealista.com/inmueble/110190330/
Casa o chalet independiente en Avenida de la Victoria, El Plantío, Madrid;Otros Madrid;3150;286;4;4;-1;0;0;1;0;0;0;https://www.idealista.com/inmueble/108228405/
Piso en Calle Eloy Gonzalo, 9, Trafalgar, Madrid;Trafalgar;1750;70;2;1;1;1;0;0;1;0;0;https://www.idealista.com/inmueble/96528552/
Piso en Arapiles, Madrid;Arapiles;2250;151;3;2;4;1;1;0;1;1;0;https://www.idealista.com/inmueble/108640300/
Piso en Calle de Yerma, Costillares, Madrid;Otros Madrid;1850;98;2;2;11;1;1;0;1;1;0;https://www.idealista.com/inmueble/110189575/
Piso en Recoletos, Madrid;Recoletos;4500;114;2;1;-1;1;0;0;1;1;0;https://www.idealista.com/inmueble/107620273/
Piso en Ibiza, Madrid;Ibiza;2500;85;2;2;5;1;1;0;1;1;1;https://www.idealista.com/inmueble/110188886/
Piso en Argüelles, Madrid;Argüelles;2500;68;2;2;1;1;0;0;1;1;0;https://www.idealista.com/inmueble/106865738/
Piso en Calle Perpetua Díaz, 13, Pradolongo, Madrid;Otros Madrid;960;72;2;1;1;1;0;1;1;1;1;https://www.idealista.com/inmueble/110188595/
Piso en Chueca-Justicia, Madrid;Justicia;2200;57;1;1;0;1;0;1;1;1;1;https://www.idealista.com/inmueble/109188443/
Piso en Calle de Edgar Neville, 3, Cuatro Caminos, Madrid;Cuatro Caminos;1350;64;1;1;6;1;0;1;1;0;1;https://www.idealista.com/inmueble/110188661/
Estudio en Calle del General Aranaz, San Pascual, Madrid;Otros Madrid;1150;50;0;1;0;1;0;0;1;1;0;https://www.idealista.com/inmueble/99299349/
Piso en Ronda de Segovia, Imperial, Madrid;Imperial;1450;65;2;1;2;1;0;0;0;1;0;https://www.idealista.com/inmueble/89330488/
Ático en Calle de Carmen Cobeña, Acacias, Madrid;Acacias;2650;98;3;2;5;1;1;1;1;0;1;https://www.idealista.com/inmueble/108983331/
Ático en CL Alfonso X, Almagro, Madrid;Almagro;3500;99;2;2;6;1;0;1;1;0;0;https://www.idealista.com/inmueble/110188414/
Piso en Paseo del Prado, Huertas-Cortes, Madrid;Cortes;4500;146;3;2;2;1;0;0;1;1;1;https://www.idealista.com/inmueble/109652316/
