titulo;barrio;precio;metros;habitaciones;banos;planta;ascensor;garaje;terraza;aire;amueblado;reformado;url
Dúplex en Calle Derechos Humanos, 14, San Pascual, Madrid;Otros Madrid;1485;95;3;2;3;1;1;0;1;1;0;https://www.idealista.com/inmueble/98441553/
Ático en Calle Embalse de San Juan, 1, Ensanche de Vallecas - La Gavia, Madrid;Otros Madrid;1580;141;3;2;8;1;1;1;1;0;1;https://www.idealista.com/inmueble/102360129/
Piso en Calle de Peña de la Atalaya, 99, San Diego, Madrid;Otros Madrid;1100;30;1;1;4;1;0;0;1;1;1;https://www.idealista.com/inmueble/110207482/
Piso en Avenida de Menéndez Pelayo, 55, Ibiza, Madrid;Ibiza;1950;45;2;1;1;1;0;0;1;1;1;https://www.idealista.com/inmueble/109955912/
Piso en Calle de Cazalegas, 5, Abrantes, Madrid;Otros Madrid;1250;75;2;2;7;1;1;0;0;0;0;https://www.idealista.com/inmueble/109305791/
Piso en Rosas, Madrid;Otros Madrid;1250;90;2;2;3;1;1;0;0;0;0;https://www.idealista.com/inmueble/81593900/
Estudio en Calle Atocha, 43, Huertas-Cortes, Madrid;Cortes;830;28;0;1;5;1;0;1;1;1;0;https://www.idealista.com/inmueble/1912426/
Casa o chalet independiente en Calle Peguerinos, Ciudad Universitaria, Madrid;Ciudad Universitaria;13800;1496;7;2;-1;0;1;1;1;0;0;https://www.idealista.com/inmueble/94226107/
Piso en Moscardó, Madrid;Otros Madrid;1100;69;2;1;3;1;1;0;1;0;1;https://www.idealista.com/inmueble/110207496/
Piso en Calle Excelente, 6, Buena Vista, Madrid;Otros Madrid;1140;54;1;1;1;1;1;0;0;1;1;https://www.idealista.com/inmueble/110115777/
Piso en Castellana, 107, Cuatro Caminos, Madrid;Castellana;1900;105;2;1;7;0;0;0;0;0;0;https://www.idealista.com/inmueble/37710296/
Piso en Rosas, Madrid;Otros Madrid;1395;111;3;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/109537805/
Piso en Plaza del Dos de Mayo, 4, Malasaña-Universidad, Madrid;Malasaña;2200;65;2;1;4;0;0;0;0;0;0;https://www.idealista.com/inmueble/110207397/
Piso en Calle de Peña de Francia, 8, Lavapiés-Embajadores, Madrid;Lavapiés;1675;62;2;1;3;0;0;0;0;0;0;https://www.idealista.com/inmueble/105016616/
Piso en Calle del Doctor Esquerdo, 162, Pacífico, Madrid;Pacífico;1250;50;1;1;6;0;0;0;0;0;0;https://www.idealista.com/inmueble/110207035/
Piso en Calle de Méndez Álvaro, 43, Delicias, Madrid;Delicias;2440;114;3;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/109922955/
Piso en Calle de Juan Pérez Zúñiga, 15, San Pascual, Madrid;Otros Madrid;1300;70;2;1;5;0;0;0;0;0;0;https://www.idealista.com/inmueble/98052073/
Piso en Recoletos, Madrid;Recoletos;11000;535;5;1;2;0;0;0;0;0;0;https://www.idealista.com/inmueble/106693439/
